"lat","long","accuracy","formatted_address","address_type","status","index"
33.6739906,-117.8431281,"premise","3141 Michelson Dr, Irvine, CA 92612, USA","premise","OK",82500
35.1717353,-80.8492716,"street_address","1600 E Woodlawn Rd, Charlotte, NC 28209, USA","street_address","OK",82501
34.0281598,-118.22995,"subpremise","1371 S Santa Fe Ave f, Los Angeles, CA 90021, USA","subpremise","OK",82502
35.2317813,-80.8457202,"subpremise","500 W 5th St #100, Charlotte, NC 28202, USA","subpremise","OK",82503
34.0283664,-118.257951,"street_address","631 E Washington Blvd, Los Angeles, CA 90015, USA","street_address","OK",82504
33.9597468,-118.3259639,"premise","3018 W Manchester Blvd, Inglewood, CA 90305, USA","premise","OK",82505
37.6598555,-113.0719207,"street_address","943 S Main St, Cedar City, UT 84720, USA","street_address","OK",82506
30.1092941,-96.0837578,"route","Blasingame Road, Hempstead, TX 77445, USA","route","OK",82507
39.109416,-108.5523461,"street_address","727 27 Rd, Grand Junction, CO 81506, USA","street_address","OK",82508
40.7453718,-73.9821073,"street_address","475 Park Ave S, New York, NY 10016, USA","street_address","OK",82509
34.1028202,-118.3284005,"street_address","1741 Ivar Ave, Los Angeles, CA 90028, USA","street_address","OK",82510
35.665661,-105.9570279,"street_address","1440 S St Francis Dr, Santa Fe, NM 87505, USA","street_address","OK",82511
42.266093,-71.801646,"street_address","306 Main St, Worcester, MA 01608, USA","street_address","OK",82512
26.7539408,-80.9353386,"premise","202 W Sugarland Hwy, Clewiston, FL 33440, USA","premise","OK",82513
42.271863,-84.457117,"street_address","3524 Wayland Dr, Jackson, MI 49202, USA","street_address","OK",82514
33.8068909,-118.1930627,"premise","2776 Pacific Ave, Long Beach, CA 90806, USA","premise","OK",82515
41.1301702,-73.3765959,"street_address","325 Post Rd W, Westport, CT 06880, USA","street_address","OK",82516
41.2369126,-80.7342553,"street_address","8640 E Market St, Warren, OH 44484, USA","street_address","OK",82517
42.3410039,-71.0687314,"street_address","74 Union Park St, Boston, MA 02118, USA","street_address","OK",82518
26.258399,-80.226155,"street_address","7537 NW 25th St, Margate, FL 33063, USA","street_address","OK",82519
38.9040418,-77.0388036,"street_address","1100 17th St NW, Washington, DC 20036, USA","street_address","OK",82520
40.788993,-74.3709633,"premise","12 Vreeland Rd, Florham Park, NJ 07932, USA","premise","OK",82521
41.0514745,-73.5428955,"premise","888 Washington Blvd, Stamford, CT 06901, USA","premise","OK",82522
41.821159,-72.828051,"street_address","30 Avon Meadow Ln, Avon, CT 06001, USA","street_address","OK",82523
40.5296928,-122.3023825,"premise","5300 Aviation Dr, Redding, CA 96002, USA","premise","OK",82524
33.8425095,-118.2803101,"premise","205 W Torrance Blvd, Carson, CA 90745, USA","premise","OK",82525
41.4198851,-73.5763253,"street_address","1475 NY-22, Brewster, NY 10509, USA","street_address","OK",82526
43.0331554,-78.8008299,"street_address","60 Pineview Dr, Buffalo, NY 14228, USA","street_address","OK",82527
41.699911,-73.885032,"street_address","675 Dutchess Turnpike, Arlington, NY 12603, USA","street_address","OK",82528
